location,type,appt_wait,no_appt_wait,captured,day
long-beach,field-office,17.0,54.0,2024-10-22 15:00:00,2
los-angeles,field-office,26.0,79.0,2024-10-22 15:00:00,2
los-angeles-metro-ibc,field-office,0.0,0.0,2024-10-22 15:00:00,2
lincoln-park,field-office,6.0,10.0,2024-10-22 15:00:00,2
west-hollywood,field-office,0.0,7.0,2024-10-22 15:00:00,2
hollywood,field-office,0.0,5.0,2024-10-22 15:00:00,2
glendale,field-office,10.0,54.0,2024-10-22 15:00:00,2
montebello,field-office,23.0,72.0,2024-10-22 15:00:00,2
bell-gardens,field-office,7.0,30.0,2024-10-22 15:00:00,2
inglewood,field-office,27.0,38.0,2024-10-22 15:00:00,2
pasadena,field-office,14.0,24.0,2024-10-22 15:00:00,2
culver-city,field-office,14.0,41.0,2024-10-22 15:00:00,2
el-monte,field-office,3.0,31.0,2024-10-22 15:00:00,2
santa-monica,field-office,8.0,18.0,2024-10-22 15:00:00,2
hawthorne,field-office,3.0,16.0,2024-10-22 15:00:00,2
gardena-commercial-drive-test-center,field-office,0.0,6.0,2024-10-22 15:00:00,2
whittier,field-office,9.0,29.0,2024-10-22 15:00:00,2
bellflower,field-office,23.0,54.0,2024-10-22 15:00:00,2
compton,field-office,0.0,4.0,2024-10-22 15:00:00,2
torrance,field-office,4.0,20.0,2024-10-22 15:00:00,2
san-pedro,field-office,6.0,22.0,2024-10-22 15:00:00,2
winnetka,field-office,0.0,6.0,2024-10-22 15:00:00,2
winnetka-ibc,field-office,0.0,0.0,2024-10-22 15:00:00,2
thousand-oaks,field-office,6.0,14.0,2024-10-22 15:00:00,2
simi-valley,field-office,1.0,26.0,2024-10-22 15:00:00,2
van-nuys,field-office,0.0,22.0,2024-10-22 15:00:00,2
arleta,field-office,0.0,1.0,2024-10-22 15:00:00,2
west-covina,field-office,0.0,8.0,2024-10-22 15:00:00,2
fullerton,field-office,4.0,44.0,2024-10-22 15:00:00,2
placentia-ibc,field-office,0.0,0.0,2024-10-22 15:00:00,2
westminster,field-office,8.0,23.0,2024-10-22 15:00:00,2
santa-ana,field-office,0.0,10.0,2024-10-22 15:00:00,2
costa-mesa,field-office,27.0,65.0,2024-10-22 15:00:00,2
san-marcos,field-office,6.0,2.0,2024-10-22 15:00:00,2
san-marcos-ibc,field-office,0.0,0.0,2024-10-22 15:00:00,2
newhall,field-office,0.0,0.0,2024-10-22 15:00:00,2
oxnard,field-office,0.0,3.0,2024-10-22 15:00:00,2
santa-clara,field-office,16.0,42.0,2024-10-22 15:00:00,2
rancho-cucamonga,field-office,13.0,24.0,2024-10-22 15:00:00,2
pomona,field-office,16.0,72.0,2024-10-22 15:00:00,2
norco,field-office,0.0,13.0,2024-10-22 15:00:00,2
fontana-commercial-drive-test-center,field-office,0.0,14.0,2024-10-22 15:00:00,2
king-city,field-office,0.0,17.0,2024-10-22 15:00:00,2
daly-city,field-office,30.0,145.0,2024-10-22 15:00:00,2
redwood-city,field-office,20.0,44.0,2024-10-22 15:00:00,2
yuba-city,field-office,2.0,14.0,2024-10-22 15:00:00,2
crescent-city,field-office,,,2024-10-22 15:00:00,2
fontana,field-office,0.0,6.0,2024-10-22 15:00:00,2
rancho-san-diego-industry-business-center,field-office,0.0,0.0,2024-10-22 15:00:00,2
rancho-san-diego-ibc,field-office,0.0,0.0,2024-10-22 15:00:00,2
chula-vista,field-office,7.0,21.0,2024-10-22 15:00:00,2
san-ysidro,field-office,0.0,42.0,2024-10-22 15:00:00,2
san-diego,field-office,13.0,28.0,2024-10-22 15:00:00,2
el-cajon,field-office,0.0,8.0,2024-10-22 15:00:00,2
el-centro,field-office,0.0,9.0,2024-10-22 15:00:00,2
oceanside,field-office,13.0,24.0,2024-10-22 15:00:00,2
temecula,field-office,19.0,53.0,2024-10-22 15:00:00,2
brawley,field-office,0.0,8.0,2024-10-22 15:00:00,2
indio,field-office,15.0,55.0,2024-10-22 15:00:00,2
poway,field-office,20.0,41.0,2024-10-22 15:00:00,2
murrieta-express,field-office,0.0,0.0,2024-10-22 15:00:00,2
laguna-hills,field-office,,,2024-10-22 15:00:00,2
san-clemente,field-office,10.0,31.0,2024-10-22 15:00:00,2
san-luis-obispo,field-office,0.0,17.0,2024-10-22 15:00:00,2
san-diego-clairemont,field-office,10.0,26.0,2024-10-22 15:00:00,2
palm-desert,field-office,11.0,46.0,2024-10-22 15:00:00,2
blythe,field-office,0.0,5.0,2024-10-22 15:00:00,2
palm-springs,field-office,3.0,16.0,2024-10-22 15:00:00,2
twentynine-palms,field-office,0.0,0.0,2024-10-22 15:00:00,2
needles,field-office,,,2024-10-22 15:00:00,2
victorville,field-office,13.0,47.0,2024-10-22 15:00:00,2
barstow,field-office,0.0,0.0,2024-10-22 15:00:00,2
san-bernardino-ibc,field-office,0.0,0.0,2024-10-22 15:00:00,2
riverside,field-office,14.0,29.0,2024-10-22 15:00:00,2
san-bernardino,field-office,0.0,7.0,2024-10-22 15:00:00,2
riverside-east,field-office,10.0,30.0,2024-10-22 15:00:00,2
redlands,field-office,9.0,24.0,2024-10-22 15:00:00,2
ridgecrest,field-office,0.0,0.0,2024-10-22 15:00:00,2
hemet,field-office,4.0,15.0,2024-10-22 15:00:00,2
ventura,field-office,1.0,14.0,2024-10-22 15:00:00,2
santa-barbara,field-office,14.0,27.0,2024-10-22 15:00:00,2
santa-paula,field-office,0.0,13.0,2024-10-22 15:00:00,2
goleta,field-office,0.0,3.0,2024-10-22 15:00:00,2
delano,field-office,0.0,0.0,2024-10-22 15:00:00,2
hanford,field-office,0.0,3.0,2024-10-22 15:00:00,2
arvin,field-office,0.0,11.0,2024-10-22 15:00:00,2
lake-isabella,field-office,0.0,0.0,2024-10-22 15:00:00,2
shafter,field-office,0.0,0.0,2024-10-22 15:00:00,2
taft,field-office,0.0,11.0,2024-10-22 15:00:00,2
porterville,field-office,0.0,7.0,2024-10-22 15:00:00,2
coalinga,field-office,0.0,0.0,2024-10-22 15:00:00,2
bakersfield,field-office,14.0,42.0,2024-10-22 15:00:00,2
bakersfield-ibc,field-office,0.0,0.0,2024-10-22 15:00:00,2
bakersfield-southwest,field-office,25.0,86.0,2024-10-22 15:00:00,2
visalia,field-office,0.0,4.0,2024-10-22 15:00:00,2
tulare,field-office,5.0,13.0,2024-10-22 15:00:00,2
reedley,field-office,0.0,12.0,2024-10-22 15:00:00,2
paso-robles,field-office,0.0,2.0,2024-10-22 15:00:00,2
lompoc,field-office,0.0,0.0,2024-10-22 15:00:00,2
santa-maria,field-office,0.0,6.0,2024-10-22 15:00:00,2
bishop,field-office,,,2024-10-22 15:00:00,2
lancaster,field-office,0.0,6.0,2024-10-22 15:00:00,2
mariposa,field-office,0.0,24.0,2024-10-22 15:00:00,2
clovis,field-office,13.0,35.0,2024-10-22 15:00:00,2
madera,field-office,0.0,0.0,2024-10-22 15:00:00,2
fresno,field-office,4.0,18.0,2024-10-22 15:00:00,2
fresno-north,field-office,10.0,19.0,2024-10-22 15:00:00,2
fresno-ibc,field-office,0.0,0.0,2024-10-22 15:00:00,2
mendota,field-office,,,2024-10-22 15:00:00,2
fresno-commercial-drive-test-center,field-office,0.0,0.0,2024-10-22 15:00:00,2
merced,field-office,24.0,57.0,2024-10-22 15:00:00,2
los-banos,field-office,0.0,25.0,2024-10-22 15:00:00,2
salinas-commercial-drive-test-center,field-office,0.0,0.0,2024-10-22 15:00:00,2
salinas,field-office,1.0,12.0,2024-10-22 15:00:00,2
watsonville,field-office,12.0,22.0,2024-10-22 15:00:00,2
seaside,field-office,0.0,0.0,2024-10-22 15:00:00,2
hollister,field-office,0.0,49.0,2024-10-22 15:00:00,2
san-mateo,field-office,31.0,53.0,2024-10-22 15:00:00,2
san-francisco,field-office,28.0,120.0,2024-10-22 15:00:00,2
oakland-coliseum,field-office,3.0,34.0,2024-10-22 15:00:00,2
mountain-view-industry-business-center,field-office,0.0,0.0,2024-10-22 15:00:00,2
mountain-view-ibc,field-office,0.0,0.0,2024-10-22 15:00:00,2
los-gatos,field-office,30.0,47.0,2024-10-22 15:00:00,2
san-jose,field-office,15.0,41.0,2024-10-22 15:00:00,2
capitola,field-office,11.0,24.0,2024-10-22 15:00:00,2
fremont,field-office,43.0,71.0,2024-10-22 15:00:00,2
west-sacramento-commercial-drive-test-center,field-office,0.0,0.0,2024-10-22 15:00:00,2
sacramento,field-office,12.0,31.0,2024-10-22 15:00:00,2
sacramento-florin-ibc,field-office,0.0,0.0,2024-10-22 15:00:00,2
sacramento-south,field-office,21.0,197.0,2024-10-22 15:00:00,2
carmichael,field-office,34.0,137.0,2024-10-22 15:00:00,2
oakland,field-office,26.0,102.0,2024-10-22 15:00:00,2
el-cerrito,field-office,17.0,40.0,2024-10-22 15:00:00,2
hayward,field-office,29.0,73.0,2024-10-22 15:00:00,2
vallejo,field-office,23.0,68.0,2024-10-22 15:00:00,2
napa,field-office,19.0,33.0,2024-10-22 15:00:00,2
fairfield-ibc,field-office,0.0,0.0,2024-10-22 15:00:00,2
fairfield,field-office,12.0,42.0,2024-10-22 15:00:00,2
tracy,field-office,0.0,17.0,2024-10-22 15:00:00,2
stockton,field-office,5.0,40.0,2024-10-22 15:00:00,2
pleasanton-stoneridge,field-office,8.0,27.0,2024-10-22 15:00:00,2
pleasanton,field-office,14.0,18.0,2024-10-22 15:00:00,2
pittsburg,field-office,0.0,52.0,2024-10-22 15:00:00,2
concord,field-office,16.0,65.0,2024-10-22 15:00:00,2
santa-rosa,field-office,0.0,35.0,2024-10-22 15:00:00,2
petaluma,field-office,6.0,15.0,2024-10-22 15:00:00,2
vacaville,field-office,14.0,17.0,2024-10-22 15:00:00,2
santa-teresa,field-office,14.0,65.0,2024-10-22 15:00:00,2
clearlake,field-office,0.0,0.0,2024-10-22 15:00:00,2
corte-madera,field-office,35.0,173.0,2024-10-22 15:00:00,2
novato,field-office,0.0,8.0,2024-10-22 15:00:00,2
gilroy,field-office,,,2024-10-22 15:00:00,2
manteca,field-office,0.0,7.0,2024-10-22 15:00:00,2
lodi,field-office,19.0,47.0,2024-10-22 15:00:00,2
san-andreas,field-office,0.0,0.0,2024-10-22 15:00:00,2
sonora,field-office,5.0,25.0,2024-10-22 15:00:00,2
south-lake-tahoe,field-office,0.0,8.0,2024-10-22 15:00:00,2
jackson,field-office,0.0,6.0,2024-10-22 15:00:00,2
modesto,field-office,16.0,53.0,2024-10-22 15:00:00,2
turlock,field-office,13.0,41.0,2024-10-22 15:00:00,2
fort-bragg,field-office,,,2024-10-22 15:00:00,2
ukiah,field-office,0.0,6.0,2024-10-22 15:00:00,2
lakeport,field-office,0.0,0.0,2024-10-22 15:00:00,2
garberville,field-office,0.0,16.0,2024-10-22 15:00:00,2
eureka,field-office,0.0,23.0,2024-10-22 15:00:00,2
weaverville,field-office,0.0,0.0,2024-10-22 15:00:00,2
yreka,field-office,,,2024-10-22 15:00:00,2
auburn,field-office,0.0,30.0,2024-10-22 15:00:00,2
truckee,field-office,0.0,3.0,2024-10-22 15:00:00,2
woodland,field-office,0.0,0.0,2024-10-22 15:00:00,2
davis,field-office,0.0,47.0,2024-10-22 15:00:00,2
colusa,field-office,,,2024-10-22 15:00:00,2
folsom,field-office,0.0,0.0,2024-10-22 15:00:00,2
placerville,field-office,0.0,11.0,2024-10-22 15:00:00,2
rocklin,field-office,0.0,0.0,2024-10-22 15:00:00,2
roseville,field-office,18.0,46.0,2024-10-22 15:00:00,2
grass-valley,field-office,0.0,12.0,2024-10-22 15:00:00,2
willows,field-office,0.0,2.0,2024-10-22 15:00:00,2
chico,field-office,19.0,44.0,2024-10-22 15:00:00,2
oroville,field-office,0.0,0.0,2024-10-22 15:00:00,2
quincy,field-office,0.0,0.0,2024-10-22 15:00:00,2
susanville,field-office,,,2024-10-22 15:00:00,2
redding,field-office,0.0,2.0,2024-10-22 15:00:00,2
alturas,field-office,0.0,0.0,2024-10-22 15:00:00,2
fall-river-mills,field-office,0.0,62.0,2024-10-22 15:00:00,2
mt-shasta,field-office,12.0,19.0,2024-10-22 15:00:00,2
red-bluff,field-office,0.0,7.0,2024-10-22 15:00:00,2
tulelake,field-office,,,2024-10-22 15:00:00,2
long-beach,field-office,10.0,38.0,2024-10-22 14:00:00,2
los-angeles,field-office,19.0,46.0,2024-10-22 14:00:00,2
los-angeles-metro-ibc,field-office,0.0,0.0,2024-10-22 14:00:00,2
lincoln-park,field-office,1.0,11.0,2024-10-22 14:00:00,2
west-hollywood,field-office,0.0,9.0,2024-10-22 14:00:00,2
hollywood,field-office,1.0,9.0,2024-10-22 14:00:00,2
glendale,field-office,17.0,40.0,2024-10-22 14:00:00,2
montebello,field-office,16.0,55.0,2024-10-22 14:00:00,2
bell-gardens,field-office,0.0,3.0,2024-10-22 14:00:00,2
inglewood,field-office,5.0,22.0,2024-10-22 14:00:00,2
pasadena,field-office,7.0,14.0,2024-10-22 14:00:00,2
culver-city,field-office,12.0,36.0,2024-10-22 14:00:00,2
el-monte,field-office,7.0,28.0,2024-10-22 14:00:00,2
santa-monica,field-office,3.0,17.0,2024-10-22 14:00:00,2
hawthorne,field-office,0.0,5.0,2024-10-22 14:00:00,2
gardena-commercial-drive-test-center,field-office,0.0,4.0,2024-10-22 14:00:00,2
whittier,field-office,5.0,17.0,2024-10-22 14:00:00,2
bellflower,field-office,17.0,50.0,2024-10-22 14:00:00,2
compton,field-office,0.0,6.0,2024-10-22 14:00:00,2
torrance,field-office,10.0,24.0,2024-10-22 14:00:00,2
