place,latitude,longitude,url,address,hours,services,city,state,zip
Compton,33.876500,-118.215400,https://www.dmv.ca.gov/portal/field-office/compton/,2111 South Santa Fe Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Compton,CA,90221
Torrance,33.827900,-118.311300,https://www.dmv.ca.gov/portal/field-office/torrance/,1785 W 220th Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Torrance,CA,90501
San Pedro,33.758800,-118.292600,https://www.dmv.ca.gov/portal/field-office/san-pedro/,1511 N Gaffey Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], San Pedro,CA,90731
Winnetka,34.201000,-118.584600,https://www.dmv.ca.gov/portal/field-office/winnetka/,20725 Sherman Way,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Winnetka,CA,91306
Winnetka IBC,34.20148,-118.58478,https://www.dmv.ca.gov/portal/field-office/winnetka-ibc/,20725 Sherman Way,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Winnetka,CA,91306
Thousand Oaks,34.211300,-118.845000,https://www.dmv.ca.gov/portal/field-office/thousand-oaks/,1810 E Avenida De Los Arboles,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Thousand Oaks,CA,91362
Simi Valley,34.286400,-118.723400,https://www.dmv.ca.gov/portal/field-office/simi-valley/,3855 D - Alamo Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Simi Valley,CA,93063
Van Nuys,34.193900,-118.458200,https://www.dmv.ca.gov/portal/field-office/van-nuys/,14920 Vanowen Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Van Nuys,CA,91405
Arleta,34.249224,-118.445215,https://www.dmv.ca.gov/portal/field-office/arleta/,14400 Van Nuys Blvd,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Arleta,CA,91331
West Covina,34.061000,-117.931600,https://www.dmv.ca.gov/portal/field-office/west-covina/,800 So Glendora Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], West Covina,CA,91790
Fullerton,33.866600,-117.939900,https://www.dmv.ca.gov/portal/field-office/fullerton/,909 W Valencia Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Fullerton,CA,92832
